"EmployeeID,Age,Department,MonthlyIncome,JobRole,Education,TotalWorkingYears,YearsAtCompany,MaritalStatus,OverTime,Attrition"
"1,35,Sales,5000,Sales Executive,2,10,5,Single,Yes,0"
"2,42,HR,4000,HR Manager,3,18,10,Married,No,0"
"3,29,IT,6000,Software Engineer,4,6,3,Single,Yes,1"
"4,37,Finance,4500,Financial Analyst,2,12,7,Married,No,0"
"5,31,IT,7000,Data Scientist,5,8,4,Single,Yes,1"
"6,45,Sales,5500,Sales Manager,3,20,12,Married,No,0"
"7,28,IT,6200,System Administrator,4,5,2,Single,Yes,1"
"8,50,HR,3500,HR Specialist,1,25,15,Married,No,0"
"9,32,Finance,4800,Accountant,2,9,6,Divorced,No,0"
"10,27,Sales,5200,Sales Representative,3,3,1,Single,Yes,1"
